How much total combined money did all members of your HOUSEHOLD earn last year?,"Have you or anyone in your household taken any precautions for an earthquake (packed an earthquake survival kit, prepared an evacuation plan, etc.)?",Count
"$0 to $9,999",Yes,18
"$0 to $9,999",No,49
"$10,000 to $24,999",Yes,22
"$10,000 to $24,999",No,67
"$100,000 to $124,999",Yes,17
"$100,000 to $124,999",No,58
"$125,000 to $149,999",Yes,6
"$125,000 to $149,999",No,39
"$150,000 to $174,999",Yes,8
"$150,000 to $174,999",No,25
"$175,000 to $199,999",Yes,1
"$175,000 to $199,999",No,11
"$200,000 and up",Yes,20
"$200,000 and up",No,30
"$25,000 to $49,999",Yes,34
"$25,000 to $49,999",No,128
"$50,000 to $74,999",Yes,35
"$50,000 to $74,999",No,140
"$75,000 to $99,999",Yes,29
"$75,000 to $99,999",No,107
Prefer not to answer,Yes,27
Prefer not to answer,No,130
