US Region,How familiar are you with the Yellowstone Supervolcano?,Count
East North Central,Extremely familiar,10
East North Central,Very familiar,12
East North Central,Not so familiar,36
East North Central,Somewhat familiar,39
East North Central,Not at all familiar,43
East South Central,Very familiar,4
East South Central,Extremely familiar,5
East South Central,Not so familiar,6
East South Central,Not at all familiar,9
East South Central,Somewhat familiar,16
Middle Atlantic,Extremely familiar,18
Middle Atlantic,Very familiar,19
Middle Atlantic,Somewhat familiar,27
Middle Atlantic,Not so familiar,28
Middle Atlantic,Not at all familiar,45
Mountain,Not so familiar,6
Mountain,Extremely familiar,12
Mountain,Not at all familiar,12
Mountain,Very familiar,16
Mountain,Somewhat familiar,21
New England,Extremely familiar,1
New England,Very familiar,7
New England,Not at all familiar,12
New England,Not so familiar,18
New England,Somewhat familiar,25
Pacific,Extremely familiar,17
Pacific,Not so familiar,42
Pacific,Very familiar,43
Pacific,Not at all familiar,52
Pacific,Somewhat familiar,52
South Atlantic,Extremely familiar,8
South Atlantic,Very familiar,16
South Atlantic,Not so familiar,35
South Atlantic,Not at all familiar,47
South Atlantic,Somewhat familiar,49
West North Central,Extremely familiar,8
West North Central,Not so familiar,13
West North Central,Very familiar,13
West North Central,Somewhat familiar,17
West North Central,Not at all familiar,20
West South Central,Very familiar,9
West South Central,Extremely familiar,14
West South Central,Not at all familiar,22
West South Central,Not so familiar,27
West South Central,Somewhat familiar,27
